November 9	 1999	0.96138
November 10	 1999	0.957223
November 12	 1999	0.969102
November 15	 1999	0.968778
November 16	 1999	0.968876
November 17	 1999	0.960895
November 18	 1999	0.969922
November 19	 1999	0.969634
November 22	 1999	0.967753
November 23	 1999	0.974255
November 24	 1999	0.982512
November 25	 1999	0.980598
November 26	 1999	0.985867
November 29	 1999	0.989602
November 30	 1999	0.991993
December 1	 1999	0.993061
December 2	 1999	0.99754
December 3	 1999	0.999079
December 6	 1999	0.975808
December 7	 1999	0.97818
December 8	 1999	0.97444
December 9	 1999	0.98378
December 10	 1999	0.984455
December 13	 1999	0.988503
December 14	 1999	0.993826
December 15	 1999	0.993639
December 16	 1999	0.983468
December 17	 1999	0.990555
December 20	 1999	0.993915
December 21	 1999	0.991014
December 22	 1999	0.992665
December 23	 1999	0.983446
December 24	 1999	0.986269
December 29	 1999	0.994803
December 30	 1999	0.997419
December 31	 1999	0.993769
January 4	 2000	0.969131
January 5	 2000	0.967376
January 6	 2000	0.968911
January 7	 2000	0.971353
January 10	 2000	0.975518
January 11	 2000	0.968016
January 12	 2000	0.972001
January 13	 2000	0.973438
January 14	 2000	0.987484
January 17	 2000	0.991349
January 18	 2000	0.98794
January 19	 2000	0.988603
January 20	 2000	0.987741
January 21	 2000	0.989863
January 24	 2000	0.997621
January 25	 2000	0.996038
January 26	 2000	0.998221
January 27	 2000	1.011044
January 28	 2000	1.025085
January 31	 2000	1.025495
February 1	 2000	1.027746
February 2	 2000	1.022684
February 3	 2000	1.011656
February 4	 2000	1.0247
February 7	 2000	1.022469
February 8	 2000	1.014104
February 9	 2000	1.008489
February 10	 2000	1.013497
February 11	 2000	1.015915
February 14	 2000	1.022086
February 15	 2000	1.017168
February 16	 2000	1.016468
February 17	 2000	1.01468
February 18	 2000	1.015869
February 21	 2000	1.013359
February 22	 2000	0.993702
February 23	 2000	0.998729
February 24	 2000	1.009284
February 25	 2000	1.01957
February 28	 2000	1.047016
February 29	 2000	1.036158
March 1	 2000	1.031047
March 2	 2000	1.023534
March 3	 2000	1.03574
March 6	 2000	1.042735
March 7	 2000	1.042005
March 8	 2000	1.043528
March 9	 2000	1.039825
March 10	 2000	1.039509
March 13	 2000	1.032088
March 14	 2000	1.039381
March 15	 2000	1.036158
March 16	 2000	1.033392
March 17	 2000	1.033909
March 20	 2000	1.027549
March 21	 2000	1.027949
March 22	 2000	1.040916
March 23	 2000	1.040349
March 24	 2000	1.0266
March 27	 2000	1.029869
March 28	 2000	1.034882
March 29	 2000	1.045165
March 30	 2000	1.048757
March 31	 2000	1.044842
April 3	 2000	1.047569
